
running 1 test
Testing lock-free map
Insert heavy
25165824 operations across 56 thread(s) in 753.826642ms; time/op = 29ns
25165824 operations across 57 thread(s) in 730.638412ms; time/op = 29ns
25165824 operations across 58 thread(s) in 1.43268111s; time/op = 56ns
25165824 operations across 59 thread(s) in 718.421975ms; time/op = 28ns
25165824 operations across 60 thread(s) in 717.44589ms; time/op = 28ns
25165824 operations across 61 thread(s) in 710.095093ms; time/op = 28ns
25165824 operations across 62 thread(s) in 698.79662ms; time/op = 27ns
25165824 operations across 63 thread(s) in 707.5871ms; time/op = 28ns
25165824 operations across 64 thread(s) in 683.099603ms; time/op = 27ns
25165824 operations across 65 thread(s) in 676.287414ms; time/op = 26ns
25165824 operations across 66 thread(s) in 667.804124ms; time/op = 26ns
25165824 operations across 67 thread(s) in 730.386105ms; time/op = 29ns
25165824 operations across 68 thread(s) in 757.356497ms; time/op = 30ns
25165824 operations across 69 thread(s) in 700.863618ms; time/op = 27ns
25165824 operations across 70 thread(s) in 640.729475ms; time/op = 25ns
25165824 operations across 71 thread(s) in 634.464561ms; time/op = 25ns
25165824 operations across 72 thread(s) in 657.184988ms; time/op = 26ns
25165824 operations across 73 thread(s) in 689.443497ms; time/op = 27ns
25165824 operations across 74 thread(s) in 665.825985ms; time/op = 26ns
25165824 operations across 75 thread(s) in 620.279201ms; time/op = 24ns
25165824 operations across 76 thread(s) in 687.117529ms; time/op = 27ns
25165824 operations across 77 thread(s) in 621.037986ms; time/op = 24ns
25165824 operations across 78 thread(s) in 621.344836ms; time/op = 24ns
25165824 operations across 79 thread(s) in 630.615192ms; time/op = 25ns
25165824 operations across 80 thread(s) in 675.895271ms; time/op = 26ns
25165824 operations across 81 thread(s) in 607.020904ms; time/op = 24ns
25165824 operations across 82 thread(s) in 659.331827ms; time/op = 26ns
25165824 operations across 83 thread(s) in 670.316634ms; time/op = 26ns
25165824 operations across 84 thread(s) in 691.472583ms; time/op = 27ns
25165824 operations across 85 thread(s) in 609.121936ms; time/op = 24ns
25165824 operations across 86 thread(s) in 576.024781ms; time/op = 22ns
25165824 operations across 87 thread(s) in 581.779101ms; time/op = 23ns
25165824 operations across 88 thread(s) in 579.039281ms; time/op = 23ns
25165824 operations across 89 thread(s) in 615.260042ms; time/op = 24ns
25165824 operations across 90 thread(s) in 594.857357ms; time/op = 23ns
25165824 operations across 91 thread(s) in 664.010131ms; time/op = 26ns
25165824 operations across 92 thread(s) in 627.282772ms; time/op = 24ns
25165824 operations across 93 thread(s) in 590.735844ms; time/op = 23ns
25165824 operations across 94 thread(s) in 536.713027ms; time/op = 21ns
25165824 operations across 95 thread(s) in 581.454126ms; time/op = 23ns
25165824 operations across 96 thread(s) in 613.018033ms; time/op = 24ns
25165824 operations across 97 thread(s) in 600.263458ms; time/op = 23ns
25165824 operations across 98 thread(s) in 602.751943ms; time/op = 23ns
25165824 operations across 99 thread(s) in 546.992781ms; time/op = 21ns
25165824 operations across 100 thread(s) in 615.626253ms; time/op = 24ns
25165824 operations across 101 thread(s) in 591.996188ms; time/op = 23ns
25165824 operations across 102 thread(s) in 633.064593ms; time/op = 25ns
25165824 operations across 103 thread(s) in 640.999426ms; time/op = 25ns
25165824 operations across 104 thread(s) in 612.113473ms; time/op = 24ns
25165824 operations across 105 thread(s) in 534.849613ms; time/op = 21ns
25165824 operations across 106 thread(s) in 557.17312ms; time/op = 22ns
25165824 operations across 107 thread(s) in 522.541292ms; time/op = 20ns
25165824 operations across 108 thread(s) in 568.315135ms; time/op = 22ns
25165824 operations across 109 thread(s) in 636.117986ms; time/op = 25ns
25165824 operations across 110 thread(s) in 598.91607ms; time/op = 23ns
25165824 operations across 111 thread(s) in 573.882391ms; time/op = 22ns
25165824 operations across 112 thread(s) in 605.277317ms; time/op = 24ns
25165824 operations across 113 thread(s) in 587.059273ms; time/op = 23ns
25165824 operations across 114 thread(s) in 558.801438ms; time/op = 22ns
25165824 operations across 115 thread(s) in 585.970696ms; time/op = 23ns
25165824 operations across 116 thread(s) in 547.625127ms; time/op = 21ns
